Task,ARTIFACTS/ Outputs,Agent View,Comments,Date,Parent item,RESOURCES,Responsibility,Select,Status,Sub-item,TRIGGER,Type
Update EARE TV & lease tracking sheets,,,Data updated.,,,,AI,,Not started,,,Lease Listing – Closing Tasks
"Arrange sign, lockbox & QR code installation",,Archie texts agent with updates,AI assigns the task to Bruce; installation itself is physical.,,,"Adress, Dates, Lock box number from agent",Hybrid,Brokerage Specific,Not started,,,Sale Listing – Active Tasks
Update sign & lockbox spreadsheet,,,Inventory updated.,,,,AI,Brokerage Specific,Not started,,,Lease Listing – Active Tasks
Switch conditional tab to firm on financial tracking sheets,,,AI updates spreadsheets.,,,,AI,Brokerage Specific,Not started,,,Sale Listing – Sold Tasks
Update EARE TV and sales tracking sheets,,,System updates spreadsheets.,,,,AI,,Not started,,,Sale Listing – Closing Tasks
"Arrange sign,",chosen date,,AI requests installation; Bruce physically installs.,,,"Adress, Agent, Deal Type, property type",Hybrid,Brokerage Specific,Not started,,,Lease Listing – Active Tasks
Send lease package to landlord,,,AI forwards documents for review.,,,,AI,,Not started,,,Lease Listing – Leased Tasks
Turn off showings on BrokerBay,,,AI asks agent and executes.,,,,Hybrid,,Not started,,,Lease Listing – Leased Tasks
Send agreement for signatures via e‑sign,,,AI manages signature process.,,,,AI,,Not started,,,Lease Listing – Leased Tasks
Send congratulations email to tenant,,,Automated email.,,,,AI,,Not started,,,Lease Tenant Deal – Closing Tasks
Move listing folder to Closed Deals,,,Archive folder.,,,,AI,,Not started,,,Sale Listing – Closing Tasks
Email co‑op agent requesting buyer’s lawyer info,,,AI sends standard request.,,,,AI,,Not started,,,Sale Listing – Sold Tasks
Send final congratulations email after closing,,,Automatically sent if applicable.,,,,AI,,Not started,,,Sale Listing – Closing Tasks
File signed paperwork,,,Stored automatically.,,,,AI,Universal,Not started,,,Lease Listing – Active Tasks
Upload signed lease to Skyslope,,,Automated upload.,,,,AI,,Not started,,,Lease Listing – Leased Tasks
Compile Skyslope paperwork,,,AI assembles and uploads necessary forms.,,,,AI,Universal,Not started,,,Sale Listing – Sold Tasks
Send Text to Agent Just Listed,,,AI posts announcement.,,,,AI,Brokerage Specific,Not started,,,Lease Listing – Active Tasks
Request complete lease application package,,,AI requests documents; human verifies content.,,,,Hybrid,,Not started,,,Lease Listing – Leased Tasks
Configure BrokerBay showing instructions & screenshot,,,AI sets up; agent may adjust preferences.,,,,Hybrid,Universal,Not started,,,Lease Listing – Active Tasks
Draft MLS & Cornerstone listing,,"Archie texts agent a pdf with listing draft ready to go and awaits feedback, also asks for any missing info","LLM generates draft description and metadata after receiving all needed information and photos ",,,Questionare,AI,Universal,In progress,,,Sale Listing – Active Tasks
Update sales tracking sheets,,,Spreadsheets updated.,,,,AI,Brokerage Specific,Not started,,,Buyer Deal – Closing Tasks
Update EARE TV spreadsheet,,,AI records listing details.,,,,AI,Brokerage Specific,Not started,,,Sale Listing – Active Tasks
